task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",,,,,1.0,,
advise clients on financial and legal matters such as investments and taxes.,0.5252525252525253,,0.26262626262626265,,0.2121212121212121,,
advise clients on how they could be helped by counseling.,0.2625,,0.2375,0.425,0.075,,
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.6917293233082706,,0.13533834586466165,0.08646616541353383,0.08646616541353383,,
advise corporations on issues involving corporate image projects or problems.,,,,,1.0,,
"advise customers concerning equipment operation, maintenance, or programming.",,,,,1.0,,
advise customers of necessary actions and strategies for debt repayment.,0.5925925925925926,,,,0.4074074074074074,,
advise customers on use and care of merchandise.,,,,,1.0,,
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.6,,,,0.4,,
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.7857142857142857,,,,0.21428571428571427,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.5,,,,0.5,,
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.85,,,,0.15,,
advise or assist in obtaining patents or meeting other legal requirements.,0.6111111111111112,,,,0.38888888888888895,,
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.5769230769230769,,,0.17307692307692307,0.25,,
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.6206896551724138,,,,0.3793103448275862,,
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",0.8846153846153846,,,,0.11538461538461538,,
advise students on academic and vocational curricula and on career issues.,0.4403669724770643,,0.1926605504587156,,0.14678899082568808,0.2201834862385321,
"advise students on academic and vocational curricula, and on career issues.",,,,,1.0,,
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.7761194029850746,,,,0.22388059701492538,,
analyze and classify risks and investments to determine their potential impacts on companies.,0.8472906403940886,,,,0.07389162561576355,,0.07881773399014777
analyze and evaluate robotic systems or prototypes.,,,,,1.0,,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.7514619883040936,0.0239766081871345,0.01578947368421053,0.14502923976608187,0.004093567251461988,,0.05964912280701754
analyze and interpret data to increase the understanding of human social behavior.,0.8488372093023255,,,,0.1511627906976744,,
analyze and interpret news and information received from various sources to broadcast the information.,0.875,,,,0.125,,
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.8518518518518519,,,,0.1481481481481481,,
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.6,,,,0.4,,
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.546875,,,,0.09375,,0.359375
analyze and maintain data logs for audio-visual activities.,0.9210526315789473,,,,0.07894736842105263,,
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,,,,,1.0,,
analyze and record personnel or operational data and write related activity reports.,0.9333333333333331,,,,0.06666666666666667,,
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.6882022471910112,,,0.05898876404494382,0.03932584269662921,,0.2134831460674157
analyze and report computer network security breaches or attempted breaches.,0.7898334045279795,0.04015378043571124,0.011533532678342588,0.09568560444254592,0.005553182400683468,,0.05724049551473729
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",,,,,1.0,,
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.7463768115942028,,,,0.2536231884057971,,
analyze characteristics of animals to identify and classify them.,0.6961038961038962,,,0.22337662337662337,0.03116883116883117,,0.04935064935064935
analyze clinical data using appropriate statistical tools.,0.8095238095238095,,,,0.19047619047619047,,
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.6666666666666665,,,,0.33333333333333326,,
analyze completed police reports to determine what additional information and investigative work is needed.,,,,,1.0,,
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",0.6206896551724138,,,,0.3793103448275862,,
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.8478260869565217,,,,0.15217391304347827,,
"analyze data from surveys, old records, or case studies, using statistical software.",0.7804878048780488,,,0.12195121951219512,0.0975609756097561,,
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",0.782608695652174,,,,0.21739130434782608,,
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.84375,,,,0.15625,,
analyze data to determine answers to questions from customers or members of the public.,0.8,,,0.13529411764705881,0.00784313725490196,,0.056862745098039215
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",,,,,1.0,,
analyze details of sales territories to assess their growth potential and to set quotas.,0.9047619047619048,,,,0.09523809523809523,,
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",0.6538461538461539,,,,0.34615384615384615,,
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.7710843373493976,,,,0.22891566265060243,,
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",,,,,1.0,,
analyze employment-related data and prepare required reports.,0.8305084745762712,,,,0.16949152542372878,,
analyze environmental aspects of competing merchandise when making buying decisions.,0.6538461538461539,,,,0.34615384615384615,,
analyze equipment performance records to assess equipment functioning.,0.6086956521739131,,,0.16304347826086957,0.22826086956521738,,
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.8055555555555556,,,,0.19444444444444448,,
analyze experimental data and interpret results to write reports and summaries of findings.,0.6427030913012222,0.04672897196261682,0.019410496046010063,0.09130122214234364,,0.024442846872753415,0.17541337167505394
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",0.9090909090909091,,,,0.09090909090909091,,
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.8304597701149425,,0.048850574712643674,,0.07471264367816093,0.04597701149425287,
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.7764705882352942,,,,0.2235294117647059,,
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",0.875,,,,0.125,,
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",0.8085106382978722,,,,0.1914893617021277,,
analyze information from traffic counting programs.,0.7307692307692306,,,,0.2692307692307692,,
analyze information obtained from management to conceptualize and define operational problems.,0.8709016393442623,,,,0.08401639344262295,0.045081967213114756,
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.6417910447761195,,,,0.3582089552238806,,
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.5714285714285714,,0.15018315018315018,0.20146520146520142,0.07692307692307693,,
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.7446808510638298,,,,0.2553191489361702,,
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.44296116504854377,0.0703883495145631,0.15291262135922326,0.26941747572815533,0.014563106796116505,0.049757281553398064,
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",0.9354838709677421,,,,0.06451612903225806,,
analyze laboratory findings to check the accuracy of the results.,0.14,,,,0.05,,0.81
analyze market conditions to determine optimum times to execute securities transactions.,0.906928645294726,,,0.04239917269906929,0.028955532574974144,,0.021716649431230608
"analyze menus or recipes, standardize recipes, or test new products.",0.8571428571428571,,,,0.14285714285714285,,
"analyze network data to determine network usage, disk space availability, or server function.",0.6666666666666665,,,0.17171717171717168,0.16161616161616163,,
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.8168870803662258,0.02238046795523906,0.0335707019328586,0.03255340793489318,,0.05391658189216684,0.04069175991861648
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,0.9523809523809524,,,,0.047619047619047616,,
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.8987730061349695,,,0.052147239263803685,0.049079754601227,,
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.8709677419354839,,,,0.12903225806451613,,
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.7116788321167883,0.0340632603406326,0.06934306569343066,0.0413625304136253,0.0145985401459854,,0.12895377128953772
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.7544802867383512,,0.02867383512544803,0.11409796893667862,0.005376344086021506,0.013142174432497013,0.08422939068100359
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.32727272727272727,,0.5454545454545454,,0.1272727272727273,,
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.5320754716981132,,0.0679245283018868,,0.05283018867924529,,0.3471698113207547
analyze potential loan markets and develop referral networks to locate prospects for loans.,0.8939393939393939,,,,0.10606060606060605,,
analyze potential loan markets to find opportunities to promote loans and financial services.,0.8536585365853658,,,,0.1463414634146341,,
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,0.8148148148148148,,,,0.1851851851851852,,
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.8461538461538461,,,,0.15384615384615383,,
analyze problems to develop solutions involving computer hardware and software.,0.7083333333333335,,,,0.2916666666666667,,
analyze product complaints and make recommendations regarding their reportability.,,,,,1.0,,
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",,,,,1.0,,
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.7336448598130842,,,0.10280373831775699,0.07476635514018691,,0.08878504672897196
"analyze research data to determine its significance, using computers.",0.7099236641221374,,,,0.11450381679389311,,0.17557251908396945
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.9444444444444444,,,,0.05555555555555555,,
analyze system performance or operational requirements.,0.5009009009009009,0.07027027027027027,0.0900900900900901,0.17387387387387387,,0.02702702702702702,0.13783783783783785
analyze target companies or investment opportunities to inform investment decisions.,0.9169096209912536,,,0.02186588921282799,0.03935860058309038,,0.02186588921282799
"analyze test data, making computations as necessary, to determine test results.",0.5614366729678639,,,0.05671077504725898,0.015122873345935728,,0.36672967863894146
analyze the effectiveness of marketing tactics or channels.,0.8414634146341463,,,,0.15853658536585366,,
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",,,,,1.0,,
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",0.7230769230769231,,,,0.27692307692307694,,
"analyze the probable outcomes of cases, using knowledge of legal precedents.",0.8095238095238095,,,,0.19047619047619047,,
"analyze training needs to design employee development, language training and health and safety programs.",0.826086956521739,,,,0.17391304347826086,,
analyze training needs to develop new training programs or modify and improve existing programs.,0.8,,,,0.2,,
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.9473684210526316,,,,0.05263157894736842,,
analyze user needs and recommend appropriate hardware.,0.9545454545454544,,,,0.045454545454545456,,
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.6305629650428191,0.02302400673873368,0.1276147690579812,0.16102765688614348,,0.03874771865786888,0.019022883616453743
"analyze, interpret, or create graphical representations of energy data, using engineering software.",0.6686390532544378,,0.09467455621301775,,0.23668639053254442,,
"analyze, interpret, or disseminate system performance data.",0.5520702634880803,0.03638644918444166,0.0740276035131744,0.24215809284818068,0.015056461731493099,,0.08030112923462986
answer applicants' questions about benefits and claim procedures.,0.55,,0.3125,,0.1375,,
answer clients' questions about the purposes and details of financial plans and strategies.,0.7007874015748031,,0.11811023622047244,,0.18110236220472442,,
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",0.7603305785123967,,,0.13223140495867766,0.10743801652892565,,
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.5454545454545454,,,,0.45454545454545453,,
answer customers' questions about merchandise and advise customers on merchandise selection.,0.848,,0.09066666666666666,0.048,0.013333333333333338,,
"answer customers' questions about products, prices, availability, or credit terms.",0.7272727272727273,0.012168933428775947,0.1896921975662133,0.0408017179670723,,0.019327129563350042,0.010737294201861132
"answer customers' questions about products, prices, availability, product uses, and credit terms.",0.6763803680981595,,0.24386503067484663,0.0352760736196319,0.02147239263803681,0.023006134969325152,
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",0.48837209302325574,,0.34883720930232565,,0.16279069767441862,,
"answer customers' questions, and provide information on procedures or policies.",0.5533244087460955,0.03302097278000892,0.1999107541276216,0.15885765283355643,,0.0178491744756805,0.037037037037037035
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",0.3877551020408163,,,0.5782312925170068,0.03401360544217688,,
"answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",0.7222222222222221,,,,0.2777777777777778,,
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.43478260869565216,,,0.4510869565217392,0.11413043478260869,,
answer inquiries from the public concerning animal control operations.,,,,0.7,0.3,,
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.84,,,,0.16,,
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",0.8099173553719008,,,0.09504132231404959,0.09504132231404959,,
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",0.6039119804400978,,0.10757946210268948,0.2420537897310513,0.04645476772616137,,
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",0.8387096774193549,,,,0.16129032258064516,,
answer patients' calls and determine how to assist them.,,,,,1.0,,
answer questions about product features and benefits.,0.7015590200445433,,0.2516703786191537,,0.0467706013363029,,
answer questions about records or files.,0.7567567567567568,,,,0.24324324324324326,,
answer questions and provide future tax planning to clients.,,,,,1.0,,
answer questions from the public and media.,0.8620689655172413,,,,0.1379310344827586,,
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",0.5138888888888888,,0.41666666666666674,,0.06944444444444445,,
answer questions regarding the store and its merchandise.,0.5625,,,,0.4375,,
answer telephone calls and respond to inquiries or transfer calls.,0.4615384615384615,,,0.49230769230769234,0.046153846153846156,,
"answer telephone calls to take messages, answer questions, and provide information during non-business hours or when switchboard is closed.",,,,,1.0,,
answer telephones and direct calls to appropriate staff.,0.6518987341772153,,,0.34177215189873417,0.006329113924050634,,
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",0.4742647058823529,,,0.5128676470588235,0.012867647058823529,,
answer telephones and schedule appointments.,0.9166666666666665,,,,0.08333333333333331,,
answer telephones to provide information and receive orders.,,,,,1.0,,
"answer telephones, and route calls or deliver messages.",0.5853658536585364,,,0.4146341463414634,,,
"answer telephones, direct calls, and take messages.",0.5054945054945055,,,0.4945054945054945,,,
"answer telephones, responding to questions or requests.",,,,0.8653846153846154,0.1346153846153846,,
answer user inquiries regarding computer software or hardware operation to resolve problems.,0.3879781420765027,0.26229508196721313,0.16393442622950818,0.1366120218579235,0.04918032786885246,,
apply customer feedback to service improvement efforts.,0.4098360655737705,,,0.25136612021857924,0.04918032786885246,,0.2896174863387978
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.7419354838709676,,,,0.25806451612903225,,
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",0.782608695652174,,,,0.21739130434782608,,
apply selected research findings to practice.,,,,,1.0,,
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",,,,,1.0,,
"appraise property values, assessing income potential when relevant.",0.9152542372881356,,,,0.08474576271186439,,
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",0.9350649350649349,,,,0.06493506493506493,,
"arrange conference, meeting, or travel reservations for office personnel.",0.8684210526315791,,,,0.13157894736842105,,
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",0.923076923076923,,,,0.07692307692307693,,
arrange for advertising or posting of job vacancies and notify eligible workers of position availability.,0.8666666666666667,,,,0.13333333333333333,,
"arrange for debt repayment or establish repayment schedules, based on customers' financial situations.",0.6666666666666665,,,,0.33333333333333326,,
arrange merchandise and sales promotion displays or issue sales promotion materials to customers.,0.9411764705882352,,,,0.0588235294117647,,
arrange reservations for patrons of dining establishments.,,,,,1.0,,
"arrange tours, taxis, or restaurant reservations for customers.",0.8461538461538461,,,,0.15384615384615383,,
"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",0.6493506493506493,,,0.2987012987012987,0.051948051948051945,,
ask questions that will help clients identify their feelings and behaviors.,,,0.4285714285714285,0.3296703296703296,0.2417582417582417,,
"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",0.9565217391304348,,,,0.043478260869565216,,
assemble documentation packages and produce drawing sets which are checked by an engineer or an architect.,0.9473684210526316,,,,0.05263157894736842,,
"assemble, install, test, or maintain electrical or electronic wiring, equipment, appliances, apparatus, or fixtures, using hand tools or power tools.",0.8571428571428571,,,,0.14285714285714285,,
assess companies as investments for clients by examining company facilities.,0.9523809523809524,,,,0.047619047619047616,,
"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods.",0.8192771084337349,,,,0.18072289156626506,,
"assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.",0.41666666666666674,,,,0.5833333333333334,,
"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.",0.676056338028169,,,,0.32394366197183105,,
assess patients for risk of suicide attempts.,0.5441176470588235,,,0.3088235294117647,0.14705882352941177,,
assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,0.6285714285714284,,,0.21904761904761905,0.023809523809523808,,0.12857142857142856
"assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",,,,,1.0,,
"assess the identity, strength, or purity of medications.",0.7924528301886792,,,,0.20754716981132082,,
assess the nature and level of threats so that the scope of the problem can be determined.,0.8315412186379928,,,0.13978494623655913,0.02867383512544803,,
assess the usefulness of pre-developed application packages and adapt them to a user environment.,0.7331334332833583,0.04097951024487756,0.08695652173913043,0.09120439780109946,,0.032733633183408294,0.014992503748125935
"assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.",0.717391304347826,,,,0.2826086956521739,,
assign and grade class work and homework.,0.8823529411764706,,,,0.1176470588235294,,
"assign and review the work of systems analysts, programmers, and other computer-related workers.",0.826086956521739,,,,0.17391304347826086,,
assign or schedule tasks to meet work priorities and goals.,0.875,,,,0.125,,
"assign work to employees, based on material or worker requirements of specific jobs.",1.0,,,,,,
"assign, coordinate, and review work and activities of programming personnel.",0.8181818181818182,,,,0.18181818181818182,,
"assist clients in adhering to treatment plans, such as setting up appointments, arranging for transportation to appointments, or providing support.",,,,,1.0,,
assist customers by providing information and resolving their complaints.,0.5154639175257731,0.15463917525773196,,0.13917525773195877,0.19072164948453607,,
"assist customers, such as responding to customer complaints and updating them about back-ordered parts.",0.5957446808510638,,,,0.4042553191489361,,
assist in laying out material for publication.,0.7735849056603774,,,,0.22641509433962262,,
assist in selection of financial award candidates using electronic databases to certify loan eligibility.,0.7272727272727273,,,,0.2727272727272727,,
assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,,,,,1.0,,
"assist in the assessment, acquisition, or deployment of new electronic document management systems.",0.8547486033519553,,,,0.1452513966480447,,
assist patients in organizing their health care system activities.,0.7926829268292682,,,,0.2073170731707317,,
assist students who need extra help with their coursework outside of class.,0.36217303822937624,0.022132796780684104,0.272635814889336,0.07997987927565392,,0.20321931589537226,0.05985915492957746
attend meetings to record minutes.,0.96,,,,0.04,,
"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",0.7209302325581395,,,,0.27906976744186046,,
"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs.",,,,,1.0,,
authenticate and appraise historical documents and archival materials.,,,,,1.0,,
authorize drug refills and provide prescription information to pharmacies.,,,,,1.0,,
back up network data.,,,,,1.0,,
"book transportation and hotel reservations, using computer terminal or telephone.",0.8947368421052632,,,,0.10526315789473684,,
"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them.",0.6108597285067874,0.10407239819004524,0.1085972850678733,0.07239819004524888,0.10407239819004524,,
build and update digital databases.,0.7843137254901962,,,,0.21568627450980396,,
buy merchandise or commodities for resale to wholesale or retail consumers.,,,,,1.0,,
"buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",0.69,,,0.27,0.04,,
calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.,,,,,1.0,,
"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.",,,,,1.0,,
calibrate data collection equipment.,,,,,1.0,,
calibrate testing instruments.,,,,,1.0,,
call by telephone to deliver verbal messages.,0.65625,,,,0.34375,,
call on prospective customers to explain company services or to solicit new business.,0.9107142857142856,,,0.06547619047619048,0.023809523809523808,,
cancel orders based on customer requests or inventory or delivery problems.,0.915,,,,0.085,,
"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs.",0.6226415094339622,,,,0.37735849056603776,,
check and analyze operating system or application logfiles regularly to verify proper system performance.,0.6747967479674797,,,0.24390243902439024,0.08130081300813007,,
"check completed work for spelling, grammar, punctuation, and format.",0.5,,,,0.2,,0.3
"check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.",,,,,1.0,,
"check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",0.4041095890410959,,,,0.0547945205479452,,0.5410958904109588
"check electrical installation for proper wiring, polarity, grounding, or integrity of terminations.",0.9113924050632911,,,,0.08860759493670885,,
check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.,,,,,1.0,,
"check original texts or confer with authors to ensure that translations retain the content, meaning, and feeling of the original material.",,,,,1.0,,
"check reference materials, such as books, news files, or public records, to obtain relevant facts.",0.8292682926829268,,,,0.17073170731707318,,
check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.,,,,,1.0,,
"choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events.",0.5789473684210527,,,,0.42105263157894735,,
classify and catalog items according to content and purpose.,0.8885511651469098,,0.005741303613644039,0.03613644039175954,0.002026342451874367,0.0486322188449848,0.018912529550827423
"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",0.946078431372549,,,,0.030637254901960783,0.023284313725490204,
coach client representatives in effective communication with the public or with employees.,0.5172413793103448,,,,0.48275862068965525,,
coach senior executives and managers on leadership and performance.,0.735,,0.095,,0.065,0.105,
code data in preparation for computer entry.,0.9200710479573712,,,0.049733570159857916,0.03019538188277087,,
"code data prior to computer entry, using lists of codes.",0.9053333333333332,,,0.068,0.02666666666666667,,
code information on license applications for entry into computers.,,,,,1.0,,
"code, classify, and catalog books, publications, films, audio-visual aids, and other library materials based on subject matter or standard library classification systems.",0.9714285714285714,,,,0.02857142857142857,,
"code, evaluate, or interpret collected study data.",0.8219354838709677,,,0.08193548387096775,0.01870967741935484,,0.07741935483870968
collaborate with artists to achieve appropriate visual style.,0.7768595041322314,,,,,0.2231404958677686,
"collaborate with colleagues to exchange information, such as selling strategies or marketing information.",0.875,,,,0.125,,
collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,,,,,1.0,,
collaborate with management or users to develop e-commerce strategies and to integrate these strategies with web sites.,0.7486910994764397,,0.11518324607329845,,0.13612565445026178,,
"collaborate with sales teams to understand customer requirements, to promote the sale of company products, and to provide sales support.",0.895,,,,0.105,,
collaborate with search engine shopping specialists to place marketing content in desired online locations.,0.8738461538461538,,0.046153846153846156,,0.08,,
collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.,,,,,1.0,,
"collaborate with system architects, software architects, design analysts, and others to understand business or industry requirements.",0.4346666666666666,0.058666666666666666,0.19466666666666665,0.18933333333333333,0.013333333333333338,0.10933333333333334,
"collaborate with web, multimedia, or art design staffs to create multimedia web sites or other internet content that conforms to brand and company visual format.",0.7463235294117648,,,0.0588235294117647,0.05514705882352941,0.13970588235294118,
"collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand.",0.8800571156592099,0.009043312708234174,0.016658733936220846,0.05663969538315088,,0.029985721085197526,0.007615421227986673
"collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.",0.7924528301886792,,,,0.20754716981132082,,
"collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems.",0.7848101265822784,,,,0.21518987341772156,,
"collect and analyze data, such as studying old records, tallying the number of outpatients entering each day or week, or participating in federal, state, or local population surveys as a census enumerator.",0.9298245614035088,,,,0.07017543859649122,,
collect and analyze relevant data to identify real estate market trends.,0.95,,,,0.05,,
"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",0.9029702970297031,,,0.049504950495049514,0.047524752475247525,,
