task_name,pct
"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",0.0
"Compile budget data and documents, based on estimated revenues and expenses and previous budgets.",0.0
"Provide customer service, such as limited instructions on proceeding with claims or referrals to auto repair facilities or local contractors.",0.0
Encourage participants to develop their own activities and leadership skills through group discussions.,0.0
Conduct historical analyses of test results.,0.0
"Produce data layers, maps, tables, or reports, using spatial analysis procedures or Geographic Information Systems (GIS) technology, equipment, or systems.",0.0
Upload digital images onto Web sites for customers.,0.0
Design and administer training programs for new employees and continuing education for existing employees.,0.0
Evaluate or recommend server hardware or software.,0.0
"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",0.0
Negotiate details of contracts and payments.,0.0
Provide communication instruction to dialect speakers or students with limited English proficiency.,0.0
"Plan routes, itineraries, and accommodation details, and compute fares and fees, using schedules, rate books, and computers.",0.0
"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.",0.0
Confer with customers to determine the nature of malfunctions.,0.0
Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.0
Maintain technical project files.,0.0
"Compile information, such as production rates and progress, materials inventories, materials used, or customer information, so that status reports can be completed.",0.0
"Prepare ordinances, resolutions, or proclamations so that they can be executed, recorded, archived, or distributed.",0.0
Review and update credit and loan files.,0.0
"Compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",0.0
Determine materials needed to complete the job and place orders accordingly.,0.0
Develop or analyze information to assess the current or future financial status of firms.,0.0
Suggest treatments to alleviate hair problems.,0.0
Refer patients to specialists or other practitioners.,0.0
"Provide repair cost estimates, and recommend whether appliance repair or replacement is a better choice.",0.0
"Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.",0.0
"Listen to speakers' statements to determine meanings and to prepare translations, using electronic listening systems as necessary.",0.0
"Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones.",0.0
"Compute total holdings, dividends, interest, transfer taxes, brokerage fees, or commissions and allocate appropriate payments to customers.",0.0
"Promote company products, services, and savings plans when appropriate.",0.0
Develop or implement quality control programs.,0.0
"Record and edit audio material, such as movie soundtracks, using audio recording and editing equipment.",0.0
Calculate potential for energy savings.,0.0
"Monitor, evaluate, or record training activities or program effectiveness.",0.0
"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",0.0
Complete accident reports when necessary.,0.0
Advise businesses or agencies on ways to improve fraud detection.,0.0
Inspect work performed to ensure that it meets specifications and established standards.,0.0
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",0.18
"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",0.28
"Diagnose medical conditions of patients, using records, reports, test results, or examination information.",0.0
"Bake, roast, broil, and steam meats, fish, vegetables, and other foods.",0.0
"Script, plan, and create animated narrative sequences under tight deadlines, using computer software and hand drawing techniques.",0.0
Train faculty and media staff on the use of software and audio-visual equipment.,0.0
Enter commands and observe system functioning to verify correct operations and detect errors.,0.0
Explore and develop musical ideas based on sources such as imagination or sounds in the environment.,0.0
Analyze data to determine feasibility of product proposals.,0.0
"Implement controls to provide security for operating systems, software, and data.",0.0
"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",0.0
Review and update standard operating procedures or quality assurance manuals.,0.0
"Diagnose or treat performance-related conditions, such as sports injuries or repetitive-motion injuries.",0.0
Evaluate employee performance.,0.0
"Identify, evaluate and recommend hardware or software technologies to achieve desired database performance.",0.0
Calculate load estimates or equipment requirements to determine required control settings.,0.0
Prepare students for further development by encouraging them to explore learning opportunities and to persevere with challenging tasks.,0.0
Perform risk assessments to develop response strategies.,0.0
