task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
Advise other physicians on the treatment of neurological problems.,0.34380000000000005,0.0,0.375,0.0625,0.125,0.09380000000000001,0.0
Advise patients about recommended courses of treatment.,0.1446,0.3233,0.44049999999999995,0.0113,0.0496,0.030699999999999998,0.0
Advise patients about therapeutic exercise and nutritional medicine regimens.,0.12689999999999999,0.301,0.3607,0.0,0.1891,0.022400000000000003,0.0
Advise patients about treatments and foot care techniques necessary for prevention of future problems.,0.449,0.2041,0.26530000000000004,0.0408,0.0408,0.0,0.0
"Advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.18739999999999998,0.26940000000000003,0.41759999999999997,0.0183,0.0636,0.0436,0.0
"Advise patients and community members concerning diet, activity, hygiene, or disease prevention.",0.23379999999999998,0.2227,0.4028,0.0213,0.0658,0.0536,0.0
"Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation.",0.154,0.3335,0.2113,0.0032,0.2661,0.0318,0.0
"Advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.2397,0.2529,0.3875,0.008199999999999999,0.0608,0.0509,0.0
"Advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.1917,0.1,0.24170000000000003,0.0333,0.4167,0.0167,0.0
Advise political science students.,0.2051,0.0127,0.24480000000000002,0.0016,0.4372,0.0986,0.0
Advise producers about improved products and techniques that could enhance their animal production efforts.,0.1485,0.2079,0.297,0.019799999999999998,0.2673,0.0594,0.0
"Advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.22440000000000002,0.08779999999999999,0.2683,0.0146,0.361,0.043899999999999995,0.0
"Advise retail managers on compliance with applicable codes, laws, regulations, or standards.",0.27190000000000003,0.1491,0.35090000000000005,0.0175,0.1491,0.061399999999999996,0.0
Advise students on academic and vocational curricula and career issues.,0.2025,0.0975,0.35,0.0075,0.3075,0.035,0.0
Advise students on academic and vocational curricula and on career issues.,0.17129999999999998,0.0977,0.34149999999999997,0.0134,0.3326,0.0435,0.0
"Advise students on academic and vocational curricula, and on career issues.",0.17420000000000002,0.0898,0.379,0.0055000000000000005,0.32420000000000004,0.0274,0.0
"Advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.1429,0.10710000000000001,0.2551,0.0102,0.4133,0.07139999999999999,0.0
"Advise students on course selection, career decisions, and other academic and vocational concerns.",0.1726,0.11449999999999999,0.3425,0.0169,0.3156,0.038,0.0
"Advise students on internships, prospective employers, and job placement services.",0.223,0.1457,0.23399999999999999,0.011000000000000001,0.3642,0.022099999999999998,0.0
"Advise students on issues such as course selection, progress toward graduation, and career decisions.",0.20579999999999998,0.1063,0.28300000000000003,0.0149,0.354,0.036000000000000004,0.0
"Advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.",0.2254,0.0282,0.2535,0.0282,0.3803,0.08449999999999999,0.0
"Advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.04,0.24,0.264,0.36,0.04,0.055999999999999994,0.0
"Aid in planning work assignments in accordance with worker performance, machine capacity, production schedules, or anticipated delays.",0.4216,0.2216,0.0189,0.056799999999999996,0.2757,0.0054,0.0
"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.3643,0.11630000000000001,0.031,0.0078000000000000005,0.4729,0.0078000000000000005,0.0
Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.2466,0.1507,0.06849999999999999,0.0274,0.4521,0.0548,0.0
Analyze and interpret data to increase the understanding of human social behavior.,0.1592,0.0604,0.449,0.024399999999999998,0.21170000000000003,0.09519999999999999,0.0
"Analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos.",0.3125,0.1563,0.3281,0.0,0.1875,0.015600000000000001,0.0
Analyze and interpret news and information received from various sources to broadcast the information.,0.3171,0.0183,0.2195,0.1341,0.1646,0.1463,0.0
"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.4783,0.2609,0.1304,0.0435,0.087,0.0,0.0
"Analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.3187,0.2564,0.3297,0.0,0.0696,0.0256,0.0
"Analyze and interpret results from tests, such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (FNAs), and polymerase chain reactions (PCRs).",0.2195,0.09759999999999999,0.561,0.0,0.122,0.0,0.0
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,0.35350000000000004,0.1535,0.1293,0.0060999999999999995,0.3172,0.0404,0.0
Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.2647,0.0588,0.0588,0.0,0.6175999999999999,0.0,0.0
"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",0.08,0.12,0.44,0.0,0.36,0.0,0.0
Analyze and record personnel or operational data and write related activity reports.,0.6061,0.056299999999999996,0.0037,0.006500000000000001,0.322,0.0055000000000000005,0.0
"Analyze and record test data to issue reports that use charts, graphs, or narratives.",0.33899999999999997,0.1017,0.16949999999999998,0.0169,0.35590000000000005,0.0169,0.0
Analyze and report computer network security breaches or attempted breaches.,0.30079999999999996,0.3333,0.16670000000000001,0.0040999999999999995,0.1016,0.0935,0.0
Analyze and understand the local and national implications of proposed legislation.,0.2857,0.011000000000000001,0.3736,0.0604,0.1923,0.07690000000000001,0.0
"Analyze archival data, such as birth, death, and disease records.",0.5,0.0909,0.2727,0.0,0.1364,0.0,0.0
"Analyze areas of potential risk to the assets, earning capacity, or success of organizations.",0.3423,0.1116,0.1699,0.023799999999999998,0.2614,0.0909,0.0
"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",0.5882000000000001,0.0,0.1765,0.0,0.2353,0.0,0.0
"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.2371,0.0928,0.268,0.0206,0.3093,0.0722,0.0
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.23929999999999998,0.0862,0.1714,0.0067,0.473,0.0235,0.0
Analyze characteristics of animals to identify and classify them.,0.4618,0.1728,0.2625,0.0033,0.0764,0.0233,0.0
Analyze clinical data using appropriate statistical tools.,0.3273,0.15839999999999999,0.17920000000000003,0.013000000000000001,0.2961,0.026000000000000002,0.0
"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",0.3178,0.1402,0.1963,0.0187,0.2523,0.0748,0.0
"Analyze competitive market strategies through analysis of related product, market, or share trends.",0.3395,0.09380000000000001,0.079,0.0086,0.47159999999999996,0.0074,0.0
"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.5333,0.0667,0.2,0.0,0.2,0.0,0.0
Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.5,0.0833,0.11109999999999999,0.0,0.2639,0.0417,0.0
Analyze data gathered and develop solutions or alternative methods of proceeding.,0.1887,0.15839999999999999,0.129,0.0052,0.4771,0.0416,0.0
"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.",0.3667,0.2,0.1333,0.0333,0.2667,0.0,0.0
Analyze data to determine answers to questions from customers or members of the public.,0.3467,0.1977,0.1274,0.01,0.2851,0.0331,0.0
Analyze data to determine feasibility of product proposals.,0.0417,0.125,0.3333,0.0,0.3333,0.16670000000000001,0.0
Analyze details of sales territories to assess their growth potential and to set quotas.,0.5238,0.1429,0.047599999999999996,0.0,0.2857,0.0,0.0
"Analyze ecological data about the impact of pollution, erosion, floods, and other environmental problems on bodies of water.",0.16,0.04,0.52,0.0,0.28,0.0,0.0
"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",0.2368,0.0592,0.43420000000000003,0.0132,0.18420000000000003,0.0724,0.0
Analyze employment-related data and prepare required reports.,0.5484,0.0645,0.0,0.0,0.3871,0.0,0.0
"Analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems.",0.3962,0.0802,0.1745,0.014199999999999999,0.29719999999999996,0.0377,0.0
Analyze equipment performance records to assess equipment functioning.,0.33039999999999997,0.3036,0.2054,0.0268,0.09820000000000001,0.035699999999999996,0.0
Analyze existing development or manufacturing procedures and suggest improvements.,0.1635,0.19690000000000002,0.18760000000000002,0.0132,0.3558,0.083,0.0
"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.2569,0.1233,0.0591,0.0073,0.529,0.024399999999999998,0.0
Analyze experimental data and interpret results to write reports and summaries of findings.,0.3048,0.1235,0.2104,0.005600000000000001,0.318,0.037599999999999995,0.0
Analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.2954,0.09949999999999999,0.15109999999999998,0.0105,0.4144,0.0292,0.0
Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.3232,0.1616,0.050499999999999996,0.0,0.40399999999999997,0.060599999999999994,0.0
Analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.3,0.1,0.1333,0.0,0.3667,0.1,0.0
Analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,0.1333,0.1333,0.3333,0.0,0.4,0.0,0.0
Analyze information about supplier performance or procurement program success.,0.4487,0.11539999999999999,0.0128,0.0,0.4103,0.0128,0.0
"Analyze information from interviews, educational and medical records, consultation with other professionals, and diagnostic evaluations to assess clients' abilities, needs, and eligibility for services.",0.625,0.0556,0.0417,0.0139,0.18059999999999998,0.0833,0.0
Analyze information obtained from management to conceptualize and define operational problems.,0.3289,0.2195,0.0833,0.029900000000000003,0.3034,0.035,0.0
"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",0.2473,0.1373,0.15839999999999999,0.0085,0.4322,0.016200000000000003,0.0
"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.2718,0.2266,0.124,0.008199999999999999,0.3317,0.0378,0.0
"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.33899999999999997,0.1356,0.1864,0.0169,0.2373,0.08470000000000001,0.0
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",0.23620000000000002,0.12359999999999999,0.11460000000000001,0.020099999999999996,0.46990000000000004,0.0356,0.0
"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",0.27390000000000003,0.2357,0.0701,0.0064,0.40130000000000005,0.0127,0.0
Analyze laboratory findings to check the accuracy of the results.,0.45899999999999996,0.0984,0.21309999999999998,0.0,0.1967,0.032799999999999996,0.0
"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",0.29410000000000003,0.4314,0.15689999999999998,0.0,0.098,0.0196,0.0
Analyze marketing or sales trends to forecast future conditions.,0.3333,0.15689999999999998,0.0392,0.0196,0.4314,0.0196,0.0
"Analyze network data to determine network usage, disk space availability, or server function.",0.4118,0.4902,0.0784,0.0,0.0,0.0196,0.0
Analyze new legislation to determine impact on risk exposure.,0.2973,0.08109999999999999,0.16219999999999998,0.0,0.4054,0.0541,0.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.37579999999999997,0.1765,0.0701,0.0116,0.3307,0.0352,0.0
"Analyze or estimate production costs, such as labor, equipment, and plant space.",0.39289999999999997,0.07139999999999999,0.2143,0.0,0.3214,0.0,0.0
"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.3889,0.19440000000000002,0.1389,0.0278,0.25,0.0,0.0
"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",0.0911,0.5072,0.1304,0.0040999999999999995,0.2484,0.018600000000000002,0.0
Analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.183,0.2302,0.35100000000000003,0.0062,0.18969999999999998,0.039900000000000005,0.0
"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.32909999999999995,0.0886,0.44299999999999995,0.0253,0.1013,0.0127,0.0
"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.4318,0.0227,0.2841,0.011399999999999999,0.1818,0.0682,0.0
"Analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",0.2778,0.16670000000000001,0.22219999999999998,0.0,0.3333,0.0,0.0
Analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.3321,0.1317,0.0725,0.0248,0.31489999999999996,0.124,0.0
"Analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.2459,0.08199999999999999,0.016399999999999998,0.0,0.32789999999999997,0.32789999999999997,0.0
Analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,0.4667,0.1333,0.2,0.0,0.1333,0.0667,0.0
"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.1442,0.17309999999999998,0.07690000000000001,0.0,0.5672999999999999,0.0385,0.0
Analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.08529999999999999,0.7533,0.0495,0.0064,0.0843,0.0212,0.0
Analyze problems to develop solutions involving computer hardware and software.,0.1328,0.6118,0.0944,0.0036,0.1437,0.013500000000000002,0.0
"Analyze proposed legislation, regulations, or rule changes to determine how agency services could be impacted.",0.2784,0.030899999999999997,0.2577,0.051500000000000004,0.299,0.0825,0.0
"Analyze records, examination information, or test results to diagnose medical conditions.",0.3431,0.1752,0.3358,0.0073,0.13140000000000002,0.0073,0.0
"Analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.264,0.2335,0.4061,0.0051,0.0812,0.0102,0.0
"Analyze research data to determine its significance, using computers.",0.2637,0.29469999999999996,0.0673,0.0059,0.3494,0.0191,0.0
Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.,0.3443,0.1311,0.22949999999999998,0.016399999999999998,0.2623,0.016399999999999998,0.0
Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.22579999999999997,0.0968,0.0645,0.0323,0.5484,0.0323,0.0
"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.",0.32,0.0,0.36,0.08,0.2,0.04,0.0
"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",0.2647,0.1912,0.0882,0.0,0.30879999999999996,0.1471,0.0
Analyze system performance or operational requirements.,0.36369999999999997,0.23440000000000003,0.0824,0.005,0.2832,0.031400000000000004,0.0
"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",0.1562,0.503,0.16899999999999998,0.0068000000000000005,0.1157,0.0493,0.0
Analyze test data to identify defects or determine calibration requirements.,0.3478,0.205,0.0932,0.0062,0.2236,0.1242,0.0
"Analyze test data, making computations as necessary, to determine test results.",0.65,0.15,0.0,0.0,0.05,0.15,0.0
"Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods.",0.14,0.66,0.14,0.0,0.02,0.04,0.0
Analyze test results and develop a treatment plan.,0.40909999999999996,0.2121,0.24239999999999998,0.0,0.12119999999999999,0.0152,0.0
Analyze test results to classify products or compare results with standard tables.,0.5484,0.0968,0.129,0.0,0.129,0.0968,0.0
"Analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",0.1223,0.6926000000000001,0.0809,0.0101,0.0435,0.0506,0.0
"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.24350000000000002,0.2116,0.1035,0.0137,0.3851,0.0426,0.0
"Analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers.",0.09519999999999999,0.23809999999999998,0.1429,0.0,0.5238,0.0,0.0
Analyze the financial impacts of sustainable manufacturing processes or sustainable product manufacturing.,0.31579999999999997,0.0263,0.3421,0.0,0.2368,0.0789,0.0
"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.",0.2786,0.1202,0.3347,0.002,0.1663,0.09820000000000001,0.0
"Analyze the probable outcomes of cases, using knowledge of legal precedents.",0.2659,0.0693,0.2327,0.0083,0.3629,0.060899999999999996,0.0
Analyze training needs to develop new training programs or modify and improve existing programs.,0.3143,0.1143,0.1429,0.2,0.2286,0.0,0.0
"Analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.2893,0.168,0.1377,0.0055000000000000005,0.3747,0.0248,0.0
Analyze user needs and recommend appropriate hardware.,0.1309,0.18960000000000002,0.3804,0.0079,0.254,0.037200000000000004,0.0
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.3025,0.1362,0.1444,0.013600000000000001,0.3651,0.0381,0.0
Analyze user needs to determine technical requirements.,0.3169,0.11960000000000001,0.1324,0.01,0.3829,0.0382,0.0
Analyze validation test data to determine whether systems or processes have met validation criteria or to identify root causes of production problems.,0.1935,0.42969999999999997,0.0916,0.0204,0.0998,0.165,0.0
Analyze x-rays to locate the sources of patients' difficulties and to rule out fractures or diseases as sources of problems.,0.4314,0.098,0.3333,0.0196,0.0784,0.0392,0.0
"Analyze, estimate, or report production costs.",0.2466,0.0726,0.1605,0.009000000000000001,0.4619,0.0493,0.0
"Analyze, interpret, or disseminate system performance data.",0.3893,0.4139,0.0695,0.0032,0.1198,0.0043,0.0
"Analyze, manipulate, or process large sets of data using statistical software.",0.2752,0.222,0.053200000000000004,0.005600000000000001,0.4328,0.011200000000000002,0.0
Answer applicants' questions about benefits and claim procedures.,0.16440000000000002,0.2521,0.4521,0.0055000000000000005,0.0932,0.0329,0.0
"Answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",0.1589,0.22519999999999998,0.31129999999999997,0.0132,0.25170000000000003,0.0397,0.0
"Answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.2982,0.06480000000000001,0.0915,0.43829999999999997,0.0842,0.023,0.0
Answer customer questions regarding problems with their accounts.,0.24420000000000003,0.48840000000000006,0.0698,0.1512,0.0349,0.0116,0.0
