task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.12903225806451613,0.0935483870967742,0.5451612903225806,,0.0032258064516129032,0.15483870967741936,0.07419354838709677
advise clients on financial and legal matters such as investments and taxes.,0.17407137654770571,0.03641660597232338,0.5003641660597232,,0.008011653313911144,0.20029133284777859,0.08084486525855789
advise clients on how they could be helped by counseling.,0.11255411255411256,0.045454545454545456,0.5735930735930735,0.13852813852813853,,0.07142857142857142,0.05844155844155843
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.2236842105263158,0.04061784897025172,0.3907322654462242,0.013157894736842105,,0.2723112128146453,0.059496567505720827
advise clients on nail care and use of products and colors.,,,,,1.0,,
advise clients on transportation and payment methods.,0.5714285714285714,,,,0.4285714285714285,,
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",,,0.8,,0.2,,
"advise clients or community groups on issues related to risk or prevention of conditions such as lead poisoning, human immunodeficiency virus (hiv), prenatal substance abuse, or domestic violence.",,,,,1.0,,
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",,,0.75,,0.25,,
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,,,,,1.0,,
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",,,,,1.0,,
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",,,0.36,,0.64,,
advise corporations on issues involving corporate image projects or problems.,,,0.33333333333333326,,0.4242424242424242,0.24242424242424238,
advise customer about or perform maintenance of software system.,,,0.6585365853658537,,0.3414634146341464,,
"advise customers concerning equipment operation, maintenance, or programming.",0.17120622568093385,0.11673151750972761,0.5252918287937743,,,0.1245136186770428,0.0622568093385214
advise customers of necessary actions and strategies for debt repayment.,0.16233766233766234,,0.37662337662337664,,0.15584415584415584,0.3051948051948052,
advise customers on plant selection or care.,0.20689655172413798,,0.6068965517241379,,0.18620689655172418,,
advise customers on product usage to improve production.,0.2676056338028169,,0.32394366197183105,,0.16901408450704225,0.23943661971830985,
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",,,0.46511627906976744,,0.5348837209302325,,
advise customers on use and care of merchandise.,0.3106796116504854,,0.4174757281553398,,0.27184466019417475,,
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,,,,,1.0,,
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.2337662337662337,,0.33766233766233766,,0.03896103896103896,0.3896103896103897,
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,,,,,1.0,,
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",,,0.38636363636363635,,0.6136363636363636,,
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",,,,,1.0,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.12313003452243959,0.05178365937859609,0.3199079401611048,0.02186421173762946,,0.3624856156501726,0.12082853855005751
"advise management on organizing, preparing, or implementing recruiting or retention programs.",,,,,0.6304347826086957,0.3695652173913043,
"advise management on short-term and long-term financial objectives, policies, and actions.",,,,,0.5384615384615384,0.4615384615384615,
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",,,,,1.0,,
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",,,,,1.0,,
advise or assist in obtaining patents or meeting other legal requirements.,,,0.5176470588235295,,0.4823529411764706,,
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,,,,,1.0,,
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.17329545454545456,,0.6306818181818182,,0.05397727272727273,0.09090909090909091,0.05113636363636364
advise participants in use of heat or ultraviolet treatments and hot baths.,,,0.6590909090909091,,0.3409090909090909,,
advise patients about recommended courses of treatment.,,,,,1.0,,
advise patients about therapeutic exercise and nutritional medicine regimens.,,,,,1.0,,
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",,,0.7916666666666665,,0.20833333333333337,,
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.1491108071135431,0.07387140902872777,0.521203830369357,,0.005471956224350205,0.16963064295485636,0.08071135430916553
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",,,0.6923076923076923,,0.3076923076923077,,
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.37777777777777777,,,,0.6222222222222222,,
advise producers about improved products and techniques that could enhance their animal production efforts.,,,,,1.0,,
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",,,0.7659574468085107,,0.23404255319148937,,
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",0.3673469387755102,,,,0.2653061224489796,0.3673469387755102,
advise students on academic and vocational curricula and career issues.,0.23728813559322035,,0.1807909604519774,,0.022598870056497175,0.44632768361581915,0.11299435028248589
advise students on academic and vocational curricula and on career issues.,0.1725417439703154,0.020408163265306124,0.2727272727272727,0.017161410018552876,,0.4160482374768089,0.10111317254174397
"advise students on academic and vocational curricula, and on career issues.",0.2,,0.16226415094339622,,0.022641509433962263,0.539622641509434,0.07547169811320754
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",,,,,0.5147058823529412,0.48529411764705893,
"advise students on course selection, career decisions, and other academic and vocational concerns.",,,,,0.6363636363636364,0.36363636363636365,
"advise students on internships, prospective employers, and job placement services.",0.28930817610062887,,0.2012578616352201,,0.03773584905660377,0.3270440251572327,0.14465408805031446
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.25210084033613445,,0.2310924369747899,,0.06302521008403361,0.3403361344537815,0.11344537815126053
"align, adjust, or calibrate equipment according to specifications.",,,,,1.0,,
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",,,,,0.36,0.64,
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.3921568627450981,,,,0.6078431372549019,,
analyze and classify risks and investments to determine their potential impacts on companies.,0.2876712328767123,,0.2808219178082192,,0.04794520547945205,0.2671232876712329,0.11643835616438356
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,,,,,1.0,,
analyze and evaluate robotic systems or prototypes.,,,,,1.0,,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.2292682926829269,0.1951219512195122,0.2926829268292683,,0.03414634146341464,0.12682926829268293,0.12195121951219512
analyze and interpret data to increase the understanding of human social behavior.,,,,,1.0,,
analyze and interpret news and information received from various sources to broadcast the information.,0.6073619631901841,,0.3312883435582822,,0.06134969325153374,,
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",,,,,1.0,,
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.12410501193317425,0.13126491646778043,0.639618138424821,,0.0047732696897374695,0.05727923627684964,0.04295942720763723
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",,,,,1.0,,
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.265625,,,,0.296875,0.4375,
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",,,,,1.0,,
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.35172413793103446,,0.11724137931034483,,0.07586206896551724,0.31724137931034485,0.1379310344827586
analyze and report computer network security breaches or attempted breaches.,0.3404634581105169,0.13012477718360071,0.2727272727272727,0.044563279857397504,,0.13368983957219252,0.07843137254901959
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",,,,,1.0,,
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,,,,,1.0,,
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.3584905660377358,,0.4716981132075472,,0.169811320754717,,
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.43544857768052525,0.045951859956236324,0.10722100656455141,,0.01312910284463895,0.35229759299781177,0.045951859956236324
analyze characteristics of animals to identify and classify them.,0.38111888111888104,0.0979020979020979,0.2972027972027972,,0.006993006993006993,0.12237762237762238,0.0944055944055944
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",0.33333333333333326,,0.2183908045977012,,0.06896551724137931,0.3793103448275862,
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.2760416666666667,,0.296875,,0.036458333333333336,0.28645833333333326,0.10416666666666669
analyze completed police reports to determine what additional information and investigative work is needed.,,,,,1.0,,
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",,,0.5641025641025641,,0.4358974358974359,,
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",,,,,1.0,,
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.2436548223350254,,0.5076142131979695,,0.06091370558375635,0.1065989847715736,0.08121827411167512
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.3424657534246575,,0.273972602739726,,0.1232876712328767,0.26027397260273966,
analyze customer bills and utility rate structures to select optimal rate structures for customers.,,,,,1.0,,
"analyze data from surveys, old records, or case studies, using statistical software.",0.44285714285714284,,0.2571428571428571,,0.3,,
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",0.1724137931034483,,0.5270935960591133,,0.0935960591133005,0.20689655172413798,
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.4594594594594595,,,,0.5405405405405406,,
analyze data to determine answers to questions from customers or members of the public.,0.7065868263473054,,0.1317365269461078,,0.059880239520958084,0.10179640718562874,
analyze data to determine feasibility of product proposals.,0.26785714285714285,,,,0.44642857142857145,0.2857142857142857,
analyze details of sales territories to assess their growth potential and to set quotas.,,,,,1.0,,
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",,,0.5641025641025641,,0.4358974358974359,,
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.272,,0.35200000000000004,,0.05600000000000001,0.184,0.136
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",0.45283018867924535,,,,0.5471698113207547,,
analyze employment-related data and prepare required reports.,,,,,1.0,,
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,,,,,1.0,,
analyze equipment performance records to assess equipment functioning.,,0.24705882352941178,0.3647058823529412,,0.3882352941176471,,
analyze existing development or manufacturing procedures and suggest improvements.,,,,,1.0,,
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.3411764705882353,,,,0.25882352941176473,0.4,
analyze experimental data and interpret results to write reports and summaries of findings.,0.2236286919831224,0.1561181434599156,0.2310126582278481,,0.00949367088607595,0.1940928270042194,0.18565400843881857
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,,,,,1.0,,
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",,,,,1.0,,
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",,,,,1.0,,
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.2745608327911516,0.0494469746258946,0.2608978529603123,0.009759271307742356,,0.2771633051398829,0.12817176317501627
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.22666666666666666,,0.24,,0.24,0.2933333333333333,
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,,,,,1.0,,
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",,,,,1.0,,
analyze information gathered by investigation and report findings and recommendations.,,,0.5208333333333334,,0.47916666666666674,,
analyze information obtained from management to conceptualize and define operational problems.,0.36339522546419106,0.025198938992042442,0.1843501326259947,0.04907161803713528,,0.3116710875331565,0.06631299734748011
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.4047619047619048,,0.23809523809523805,,0.07142857142857142,0.2857142857142857,
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.23260247855100094,0.0438512869399428,0.5014299332697807,,0.012392755004766444,0.17063870352716873,0.03908484270734033
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.3829787234042554,,0.2765957446808511,,0.14184397163120568,0.198581560283688,
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.20078740157480315,0.09273840769903761,0.4938757655293088,0.009623797025371828,,0.15966754155730534,0.043307086614173235
analyze laboratory findings to check the accuracy of the results.,,,,,0.36,,0.64
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",0.17366946778711484,0.29411764705882354,0.21008403361344535,,0.008403361344537815,0.2549019607843137,0.0588235294117647
analyze market conditions to determine optimum times to execute securities transactions.,0.3644444444444444,0.15555555555555556,0.21333333333333335,,0.013333333333333338,0.1822222222222222,0.07111111111111111
"analyze network data to determine network usage, disk space availability, or server function.",0.45205479452054786,,0.3013698630136986,,0.2465753424657534,,
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.24143955276030749,0.06848357791754019,0.15758211041229908,0.02585604472396925,,0.3853948287910552,0.12124388539482879
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.38,,,,0.62,,
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.30275229357798167,,0.33944954128440374,,0.10091743119266056,0.25688073394495414,
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.22972972972972971,0.04551920341394026,0.5064011379800853,,0.0035561877667140817,0.1386913229018492,0.07610241820768136
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.38803088803088803,0.05019305019305019,0.4015444015444015,0.03474903474903475,,0.07722007722007722,0.048262548262548256
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",,,,,1.0,,
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.33441558441558444,0.051948051948051945,0.16233766233766234,,0.016233766233766232,0.35064935064935066,0.08441558441558442
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.37598736176935227,,0.5466034755134281,,0.045813586097946286,0.0315955766192733,
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.3703703703703704,,,,0.308641975308642,0.32098765432098764,
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,,,0.5277777777777778,,0.4722222222222222,,
analyze potential loan markets and develop referral networks to locate prospects for loans.,0.3269230769230769,,,,0.15384615384615383,0.5192307692307693,
analyze potential loan markets to find opportunities to promote loans and financial services.,0.44680851063829785,,0.23404255319148937,,0.05319148936170213,0.26595744680851063,
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,,,,,1.0,,
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.3695652173913043,,,,0.2608695652173913,0.3695652173913043,
analyze problems to develop solutions involving computer hardware and software.,0.4657534246575342,,0.3287671232876712,,0.2054794520547945,,
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",0.4065934065934066,,,,0.2527472527472528,0.34065934065934067,
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.2361904761904762,0.10285714285714284,0.539047619047619,,0.005714285714285714,0.06666666666666667,0.049523809523809526
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",,,0.34883720930232565,,0.6511627906976745,,
"analyze research data to determine its significance, using computers.",0.2952380952380953,,0.33333333333333326,,0.37142857142857144,,
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,,,,,1.0,,
analyze system performance or operational requirements.,0.18658892128279883,0.12536443148688048,0.4897959183673469,0.02186588921282799,,0.10058309037900877,0.07580174927113703
analyze target companies or investment opportunities to inform investment decisions.,0.5192307692307693,0.023076923076923078,0.1858974358974359,,0.01282051282051282,0.19743589743589746,0.06153846153846154
analyze technology trends to identify markets for future product development or to improve sales of existing products.,0.2828282828282828,,0.36363636363636365,,0.04040404040404041,0.31313131313131315,
"analyze test data, making computations as necessary, to determine test results.",0.39097744360902253,0.14285714285714285,0.11278195488721804,,,0.1879699248120301,0.16541353383458646
analyze test results and develop a treatment plan.,,,0.5333333333333333,,0.46666666666666656,,
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",,,,,1.0,,
analyze the effectiveness of marketing tactics or channels.,0.4418604651162791,,,,0.5581395348837209,,
"analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",,,,,1.0,,
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.3365384615384615,,0.17307692307692307,,0.14423076923076922,0.34615384615384615,
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",0.2922077922077922,,0.33766233766233766,,0.16883116883116883,0.2012987012987013,
"analyze the probable outcomes of cases, using knowledge of legal precedents.",0.31746031746031744,,0.2857142857142857,,0.39682539682539675,,
"analyze training needs to design employee development, language training and health and safety programs.",,,,,1.0,,
analyze training needs to develop new training programs or modify and improve existing programs.,0.46808510638297884,,,,0.5319148936170213,,
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.3404255319148936,,0.28723404255319157,,0.07446808510638298,0.2978723404255319,
analyze user needs and recommend appropriate hardware.,0.29545454545454547,,0.20454545454545456,,0.07954545454545454,0.42045454545454547,
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.27032269441015694,0.030329747839887147,0.35725621583494976,0.03526714865103157,,0.26062422853112327,0.04619996473285135
"analyze, estimate, or report production costs.",,,,,1.0,,
"analyze, interpret, or create graphical representations of energy data, using engineering software.",0.28792569659442724,0.09287925696594428,0.19195046439628485,,0.006191950464396285,0.35294117647058826,0.06811145510835913
"analyze, interpret, or disseminate system performance data.",0.20066889632107024,0.13043478260869565,0.5016722408026756,,0.05351170568561873,0.11371237458193979,
answer applicants' questions about benefits and claim procedures.,0.19101123595505615,,0.6629213483146067,,0.14606741573033707,,
answer clients' questions about the purposes and details of financial plans and strategies.,0.2034956304619226,0.03620474406991261,0.43196004993757803,0.03495630461922597,,0.22347066167290885,0.06991260923845194
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",0.3055555555555556,,0.2847222222222222,,0.1111111111111111,0.2986111111111111,
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.627906976744186,,0.29069767441860467,,0.08139534883720931,,
answer customers' questions about merchandise and advise customers on merchandise selection.,0.375,0.05487804878048781,0.3018292682926829,,0.021341463414634148,0.24695121951219512,
answer customers' questions about postal services and regulations.,,,0.5238095238095238,,0.4761904761904761,,
"answer customers' questions about products, prices, availability, or credit terms.",0.413512218495448,0.045759463344513654,0.3725443219932918,0.02898897939626257,,0.11284139913751795,0.02635361763296598
"answer customers' questions about products, prices, availability, product uses, and credit terms.",0.4,0.03707865168539326,0.398876404494382,0.02696629213483146,,0.11292134831460675,0.02415730337078652
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",0.40298507462686567,,0.49253731343283585,,0.1044776119402985,,
"answer customers' questions, and provide information on procedures or policies.",0.5845245228109218,0.020628263288538902,0.20414277154840366,0.12916203030043652,,0.0382607207052983,0.02328169134640075
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",,,,1.0,,,
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.5145772594752187,,0.1151603498542274,0.3017492711370262,0.03644314868804665,0.03206997084548105,
"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",0.2711864406779661,,0.576271186440678,,0.15254237288135591,,
answer inquiries from the public concerning animal control operations.,0.6012084592145015,,0.08459214501510574,0.283987915407855,0.030211480362537766,,
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.4615384615384615,,0.2615384615384616,,0.27692307692307694,,
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",0.4378378378378379,,0.1945945945945946,,0.08648648648648649,0.2810810810810811,
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",0.7278343023255814,0.011991279069767442,0.12390988372093023,0.0977470930232558,,0.03234011627906977,0.0061773255813953485
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",0.3846153846153847,,0.4807692307692308,,0.1346153846153846,,
answer questions about game rules and casino policies.,,,,,1.0,,
answer questions about game rules or casino policies.,,,,,1.0,,
answer questions about product features and benefits.,0.2965686274509804,0.028594771241830064,0.46732026143790845,0.018790849673202614,,0.15522875816993464,0.03349673202614379
answer questions about records or files.,0.5990338164251208,,0.17391304347826086,0.11594202898550725,0.1111111111111111,,
answer questions and provide future tax planning to clients.,,,0.696969696969697,,0.30303030303030304,,
"answer questions from passengers concerning train rules, stations, and timetable information.",0.4222222222222222,,0.4,,0.17777777777777778,,
answer questions from taxpayers and assist them in completing tax forms.,0.265625,,0.515625,,0.21875,,
answer questions from the public and media.,,,0.3970588235294117,,0.6029411764705882,,
"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",0.37719298245614036,,0.47368421052631576,,0.14912280701754382,,
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",0.22842639593908629,,0.5583756345177665,,0.08121827411167512,0.1319796954314721,
"answer questions regarding mail regulations and procedures, postage rates, and post office boxes.",,,0.48484848484848475,,0.5151515151515152,,
answer questions regarding the store and its merchandise.,0.6723768736616702,,0.1991434689507494,0.07922912205567452,0.04925053533190578,,
"answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",,,,,1.0,,
answer telephone calls and respond to inquiries or transfer calls.,,,,,1.0,,
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",0.3505747126436782,,,0.6091954022988506,0.040229885057471264,,
answer telephones to provide information and receive orders.,0.8181818181818182,,,,0.18181818181818182,,
"answer telephones, direct calls, and take messages.",0.2201834862385321,,,0.7431192660550459,0.03669724770642202,,
"answer telephones, responding to questions or requests.",0.4924623115577889,,,0.4371859296482412,0.07035175879396985,,
answer user inquiries regarding computer software or hardware operation to resolve problems.,0.23835616438356158,0.13972602739726028,0.5315068493150685,0.0410958904109589,0.049315068493150684,,
apply customer feedback to service improvement efforts.,,,,,1.0,,
"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",,,0.5,,0.5,,
apply finger and hand pressure to specific points of the body.,,,,,1.0,,
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.41379310344827586,,0.2758620689655172,,0.08620689655172414,0.22413793103448282,
"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",,,,,1.0,,
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",,,,,1.0,,
apply selected research findings to practice.,,,0.6818181818181818,,0.3181818181818182,,
"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science.",,,,,1.0,,
