task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.8438,0.0104,0.09380000000000001,0.0313,0.0104,0.0104,0.0
Advise customers on product usage to improve production.,0.8736,0.092,0.0115,0.0115,0.0,0.0115,0.0
Advise customers on substitution or modification of parts when identical replacements are not available.,0.8946999999999999,0.0526,0.0526,0.0,0.0,0.0,0.0
Advise customers on use and care of merchandise.,0.6106,0.0545,0.2404,0.057699999999999994,0.0128,0.024,0.0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.7619,0.0159,0.0635,0.127,0.0317,0.0,0.0
"Advise employees in handling problems or resolving complaints from customers, tenants, detainees, or other persons.",0.9444,0.0556,0.0,0.0,0.0,0.0,0.0
Advise internal management or business partners on the implementation or operation of compliance programs.,0.6377,0.0725,0.1739,0.0435,0.0435,0.028999999999999998,0.0
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.825,0.0571,0.07139999999999999,0.021400000000000002,0.010700000000000001,0.0143,0.0
"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.5985,0.0673,0.13970000000000002,0.11470000000000001,0.0524,0.0274,0.0
"Advise management on short-term and long-term financial objectives, policies, and actions.",0.5306000000000001,0.12240000000000001,0.102,0.0816,0.1429,0.0204,0.0
"Advise management on such matters as equal employment opportunity, sexual harassment, and discrimination.",0.5625,0.1875,0.125,0.125,0.0,0.0,0.0
"Advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures, and classification programs.",0.75,0.0,0.1875,0.0,0.0,0.0625,0.0
"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.575,0.0,0.15,0.05,0.2,0.025,0.0
Advise or assist in obtaining patents or meeting other legal requirements.,0.7429000000000001,0.0571,0.0857,0.0143,0.0571,0.0429,0.0
Advise patients about recommended courses of treatment.,0.7112999999999999,0.061900000000000004,0.1624,0.0206,0.0129,0.030899999999999997,0.0
Advise patients about therapeutic exercise and nutritional medicine regimens.,0.7059000000000001,0.1765,0.0,0.0,0.1176,0.0,0.0
"Advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.5870000000000001,0.087,0.1957,0.10869999999999999,0.0,0.0217,0.0
"Advise patients and community members concerning diet, activity, hygiene, or disease prevention.",0.75,0.08929999999999999,0.125,0.0179,0.0,0.0179,0.0
"Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation.",0.5982999999999999,0.1795,0.07690000000000001,0.0256,0.1026,0.0171,0.0
"Advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.34619999999999995,0.34619999999999995,0.1923,0.0,0.0385,0.07690000000000001,0.0
"Advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.6765000000000001,0.0882,0.0882,0.0294,0.0294,0.0882,0.0
Advise students on academic and vocational curricula and career issues.,0.68,0.16,0.04,0.12,0.0,0.0,0.0
Advise students on academic and vocational curricula and on career issues.,0.4382,0.1011,0.1461,0.23600000000000002,0.0674,0.011200000000000002,0.0
"Advise students on academic and vocational curricula, and on career issues.",0.2759,0.10339999999999999,0.1379,0.3103,0.1379,0.0345,0.0
"Advise students on course selection, career decisions, and other academic and vocational concerns.",0.63,0.03,0.1,0.14,0.07,0.03,0.0
"Advise students on issues such as course selection, progress toward graduation, and career decisions.",0.6271,0.06269999999999999,0.122,0.0949,0.0712,0.022000000000000002,0.0
"Advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.22219999999999998,0.19440000000000002,0.0,0.5,0.0139,0.0694,0.0
"Aid in planning work assignments in accordance with worker performance, machine capacity, production schedules, or anticipated delays.",0.8621,0.0483,0.0,0.0759,0.0138,0.0,0.0
Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.9494,0.038,0.0,0.0,0.0,0.0127,0.0
Analyze and interpret news and information received from various sources to broadcast the information.,0.9677,0.0054,0.0027,0.0054,0.0161,0.0027,0.0
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,0.9251,0.026099999999999998,0.012199999999999999,0.015700000000000002,0.0174,0.0034999999999999996,0.0
Analyze and record personnel or operational data and write related activity reports.,0.9429000000000001,0.020499999999999997,0.0011,0.013999999999999999,0.0183,0.0032,0.0
Analyze and report computer network security breaches or attempted breaches.,0.8365,0.042,0.0026,0.0341,0.0381,0.0466,0.0
Analyze and understand the local and national implications of proposed legislation.,0.8893000000000001,0.0040999999999999995,0.0246,0.020499999999999997,0.0533,0.008199999999999999,0.0
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",0.8133,0.1867,0.0,0.0,0.0,0.0,0.0
"Analyze archival data, such as birth, death, and disease records.",0.963,0.0,0.037000000000000005,0.0,0.0,0.0,0.0
"Analyze areas of potential risk to the assets, earning capacity, or success of organizations.",0.9473,0.0255,0.0038,0.0034000000000000002,0.0038,0.0161,0.0
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.852,0.0329,0.009899999999999999,0.0066,0.0789,0.0197,0.0
Analyze characteristics of animals to identify and classify them.,0.9706,0.0294,0.0,0.0,0.0,0.0,0.0
Analyze clinical data using appropriate statistical tools.,0.9543,0.0178,0.0051,0.0,0.0203,0.0025,0.0
"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",0.9853000000000001,0.0147,0.0,0.0,0.0,0.0,0.0
"Analyze competitive market strategies through analysis of related product, market, or share trends.",0.9525,0.0178,0.0074,0.0015,0.019299999999999998,0.0015,0.0
"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.9653,0.0139,0.0,0.0069,0.0069,0.0069,0.0
Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.9394,0.0354,0.0101,0.0,0.0101,0.0051,0.0
Analyze data gathered and develop solutions or alternative methods of proceeding.,0.8995000000000001,0.0548,0.0076,0.0091,0.019799999999999998,0.0091,0.0
Analyze data to determine answers to questions from customers or members of the public.,0.9521,0.019,0.0058,0.0085,0.011000000000000001,0.0036,0.0
Analyze data to determine the effectiveness of specific treatments or therapy approaches.,0.9,0.0333,0.0167,0.0333,0.0,0.0167,0.0
Analyze data to determine the effectiveness of treatments or therapy approaches.,0.9125,0.025,0.0375,0.0125,0.0125,0.0,0.0
Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.8974,0.0,0.0,0.1026,0.0,0.0,0.0
"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",0.9449,0.015700000000000002,0.0236,0.0039000000000000003,0.0118,0.0,0.0
"Analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems.",0.92,0.0667,0.0,0.0,0.0,0.013300000000000001,0.0
Analyze equipment performance records to assess equipment functioning.,0.8953,0.04650000000000001,0.0174,0.0116,0.0058,0.0233,0.0
Analyze existing development or manufacturing procedures and suggest improvements.,0.5731,0.0705,0.0931,0.013300000000000001,0.20879999999999999,0.0412,0.0
"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.7989,0.0708,0.0223,0.0,0.0931,0.0149,0.0
Analyze experimental data and interpret results to write reports and summaries of findings.,0.9066,0.0316,0.033,0.0040999999999999995,0.0151,0.0096,0.0
Analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.9262999999999999,0.0329,0.0039000000000000003,0.0055000000000000005,0.0149,0.0165,0.0
Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analyze information about supplier performance or procurement program success.,0.9856,0.009000000000000001,0.0,0.0,0.0036,0.0018,0.0
"Analyze information from interviews, educational and medical records, consultation with other professionals, and diagnostic evaluations to assess clients' abilities, needs, and eligibility for services.",0.9956,0.001,0.0003,0.0027,0.0003,0.0,0.0
Analyze information obtained from management to conceptualize and define operational problems.,0.9314,0.035699999999999996,0.0029,0.008100000000000001,0.013300000000000001,0.0085,0.0
"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",0.875,0.0323,0.013500000000000002,0.0063,0.06559999999999999,0.0073,0.0
"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.7645000000000001,0.061799999999999994,0.0219,0.009000000000000001,0.12869999999999998,0.014199999999999999,0.0
"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.8769,0.0308,0.0154,0.0,0.07690000000000001,0.0,0.0
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",0.8791,0.0202,0.0264,0.0279,0.035699999999999996,0.0109,0.0
Analyze laboratory findings to check the accuracy of the results.,0.9490000000000001,0.0,0.0,0.0,0.0102,0.0408,0.0
"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",0.9761,0.0159,0.0,0.004,0.004,0.0,0.0
Analyze market and delivery systems to assess present and future material availability.,0.8759999999999999,0.11599999999999999,0.004,0.0,0.0,0.004,0.0
Analyze market conditions to determine acreage allocations.,0.8,0.18,0.0,0.0,0.02,0.0,0.0
Analyze marketing or sales trends to forecast future conditions.,0.9346,0.0374,0.0,0.0187,0.009300000000000001,0.0,0.0
"Analyze network data to determine network usage, disk space availability, or server function.",0.8197,0.0984,0.016399999999999998,0.008199999999999999,0.016399999999999998,0.040999999999999995,0.0
Analyze new legislation to determine impact on risk exposure.,0.9634,0.0,0.0,0.0,0.0366,0.0,0.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.9564,0.0144,0.003,0.0108,0.0097,0.005600000000000001,0.0
"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.9778,0.0,0.0,0.0,0.0222,0.0,0.0
"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",0.8718,0.0882,0.0042,0.0042,0.0252,0.0063,0.0
Analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.9257,0.0161,0.0223,0.013600000000000001,0.0149,0.0074,0.0
"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.9390000000000001,0.0366,0.012199999999999999,0.0,0.0,0.012199999999999999,0.0
"Analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.8,0.0083,0.0083,0.0083,0.0083,0.16670000000000001,0.0
"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.6585,0.2927,0.0,0.0,0.048799999999999996,0.0,0.0
Analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.6667000000000001,0.2778,0.0121,0.0089,0.0276,0.0068000000000000005,0.0
Analyze problems to develop solutions involving computer hardware and software.,0.7390000000000001,0.1862,0.022400000000000003,0.0019,0.0467,0.0038,0.0
"Analyze proposed legislation, regulations, or rule changes to determine how agency services could be impacted.",0.961,0.003,0.012,0.006,0.006,0.012,0.0
Analyze quality control test results and provide feedback and interpretation to production management or staff.,0.9565,0.0085,0.0009,0.0102,0.0171,0.0068000000000000005,0.0
"Analyze research data to determine its significance, using computers.",0.8987999999999999,0.053099999999999994,0.0067,0.0083,0.030299999999999997,0.0028000000000000004,0.0
Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.,0.9898,0.0025,0.0,0.0008,0.0025,0.0042,0.0
Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.9856,0.0048,0.0,0.0048,0.0048,0.0,0.0
"Analyze statistical data and reports to identify and determine causes of personnel problems, and develop recommendations for improvement of organization's personnel policies and practices.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",0.9906999999999999,0.0,0.0,0.0,0.009300000000000001,0.0,0.0
Analyze system performance or operational requirements.,0.8912,0.061799999999999994,0.0077,0.0070999999999999995,0.0254,0.0069,0.0
"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",0.8393,0.12210000000000001,0.0096,0.0034000000000000002,0.0128,0.0128,0.0
Analyze test data to identify defects or determine calibration requirements.,0.9109999999999999,0.0075,0.0,0.0008,0.0017000000000000001,0.079,0.0
"Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods.",0.8621,0.10339999999999999,0.0,0.0,0.0345,0.0,0.0
Analyze test results to classify products or compare results with standard tables.,0.9876,0.0,0.0,0.0062,0.0062,0.0,0.0
"Analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",0.8084,0.1478,0.0118,0.0040999999999999995,0.0134,0.0144,0.0
"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.8736,0.061399999999999996,0.0144,0.0036,0.046900000000000004,0.0,0.0
"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.",0.9308,0.0079,0.019799999999999998,0.002,0.009899999999999999,0.0296,0.0
"Analyze the probable outcomes of cases, using knowledge of legal precedents.",0.9016,0.008199999999999999,0.016399999999999998,0.008199999999999999,0.0246,0.040999999999999995,0.0
"Analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.9,0.0222,0.0111,0.0111,0.0444,0.0111,0.0
Analyze user needs and recommend appropriate hardware.,0.8354,0.0127,0.038,0.038,0.0506,0.0253,0.0
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.9266,0.0227,0.012199999999999999,0.0034999999999999996,0.0262,0.0087,0.0
Analyze user needs to determine technical requirements.,0.968,0.008100000000000001,0.0034999999999999996,0.0023,0.0134,0.0048,0.0
Analyze validation test data to determine whether systems or processes have met validation criteria or to identify root causes of production problems.,0.8808,0.0492,0.0023,0.005,0.004699999999999999,0.057999999999999996,0.0
"Analyze, estimate, or report production costs.",0.8642,0.024700000000000003,0.0165,0.0040999999999999995,0.0823,0.008199999999999999,0.0
"Analyze, interpret, or disseminate system performance data.",0.8868,0.0897,0.004,0.0084,0.0060999999999999995,0.0049,0.0
"Analyze, manipulate, or process large sets of data using statistical software.",0.9106000000000001,0.0605,0.0042,0.0046,0.018500000000000003,0.0016,0.0
"Answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.5681,0.0554,0.018600000000000002,0.3414,0.009300000000000001,0.0073,0.0
Answer customer questions regarding problems with their accounts.,0.5956,0.2978,0.0178,0.0889,0.0,0.0,0.0
Answer customers' questions about merchandise and advise customers on merchandise selection.,0.9020999999999999,0.018000000000000002,0.0361,0.018000000000000002,0.0103,0.0155,0.0
"Answer customers' questions about products, prices, availability, or credit terms.",0.7251000000000001,0.08380000000000001,0.0758,0.0795,0.027200000000000002,0.0086,0.0
"Answer customers' questions about products, prices, availability, product uses, and credit terms.",0.7425,0.056900000000000006,0.11810000000000001,0.056900000000000006,0.0171,0.0085,0.0
"Answer customers' questions about services and charges, or direct them to customer service centers.",0.6496,0.1533,0.0292,0.1533,0.0,0.0146,0.0
"Answer customers' questions about services, prices, availability, or credit terms.",0.7114,0.0639,0.1007,0.107,0.0116,0.0053,0.0
"Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.",0.8125,0.0,0.125,0.0625,0.0,0.0,0.0
"Answer customers' questions, and provide information on procedures or policies.",0.622,0.0454,0.2382,0.0625,0.011399999999999999,0.0206,0.0
"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",0.784,0.024399999999999998,0.0,0.1882,0.0034999999999999996,0.0,0.0
Answer incoming phone calls.,0.7239,0.0,0.0,0.2761,0.0,0.0,0.0
"Answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",0.7391,0.0435,0.0435,0.163,0.0,0.0109,0.0
"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.7391,0.0797,0.0217,0.1377,0.0217,0.0,0.0
"Answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",0.9211,0.0526,0.0,0.0263,0.0,0.0,0.0
"Answer inquiries regarding information, such as schedules, accommodations, procedures, or policies.",0.5796,0.0163,0.26940000000000003,0.0816,0.0163,0.036699999999999997,0.0
"Answer inquiries regarding rates, routing, or procedures.",0.76,0.0,0.2,0.0,0.04,0.0,0.0
Answer patients' calls and determine how to assist them.,0.46149999999999997,0.0462,0.0154,0.4462,0.0308,0.0,0.0
Answer patrons' questions about gaming machine functions and payouts.,0.7646999999999999,0.15689999999999998,0.0,0.0784,0.0,0.0,0.0
Answer phone calls and direct calls to appropriate parties or take messages.,0.8649,0.013500000000000002,0.0,0.1216,0.0,0.0,0.0
Answer questions about game rules and casino policies.,0.5171,0.3,0.012199999999999999,0.1439,0.024399999999999998,0.0024,0.0
Answer questions about game rules or casino policies.,0.4125,0.4386,0.015700000000000002,0.1097,0.0209,0.0026,0.0
Answer questions about product features and benefits.,0.7005,0.0301,0.1856,0.0541,0.0132,0.0165,0.0
Answer questions about records or files.,0.6412,0.0992,0.057300000000000004,0.1107,0.0344,0.057300000000000004,0.0
Answer questions and advise customers regarding loans and transactions.,0.9167000000000001,0.0278,0.0,0.0278,0.0278,0.0,0.0
Answer questions regarding the store and its merchandise.,0.8014,0.06860000000000001,0.0181,0.0866,0.0181,0.0072,0.0
Answer questions that patients have about their health and well-being.,0.4411,0.1058,0.3373,0.0729,0.018000000000000002,0.025,0.0
"Answer routine inquiries, and refer calls not requiring dispatches to appropriate departments and agencies.",0.9129999999999999,0.0435,0.0,0.0435,0.0,0.0,0.0
"Answer simple questions about clients' businesses, using reference files.",0.866,0.0184,0.0254,0.0604,0.006999999999999999,0.022799999999999997,0.0
Answer students' questions.,0.4473,0.0364,0.4539,0.0152,0.0285,0.018600000000000002,0.0
Answer telephone calls and respond to inquiries or transfer calls.,0.3885,0.0178,0.052199999999999996,0.5297,0.0064,0.0055000000000000005,0.0
Answer telephones and assist customers with their questions.,0.8177,0.0493,0.0148,0.1133,0.0,0.0049,0.0
Answer telephones and direct calls to appropriate staff.,0.9565,0.026099999999999998,0.0,0.0174,0.0,0.0,0.0
"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",0.8676,0.022099999999999998,0.0,0.10289999999999999,0.0,0.0074,0.0
Answer telephones and schedule appointments.,0.5707,0.2717,0.0,0.1522,0.0054,0.0,0.0
Answer telephones to provide information and receive orders.,0.5714,0.2208,0.0,0.1948,0.013000000000000001,0.0,0.0
"Answer telephones, and route calls or deliver messages.",0.7953,0.09939999999999999,0.0,0.09359999999999999,0.0058,0.0058,0.0
Answer user inquiries regarding computer software or hardware operation to resolve problems.,0.4389,0.273,0.18719999999999998,0.057699999999999994,0.0273,0.016,0.0
"Apply analytic methods or tools to understand, predict, or control logistics operations or processes.",0.8966,0.0345,0.0,0.0,0.0345,0.0345,0.0
Apply customer feedback to service improvement efforts.,0.3333,0.3333,0.0,0.0333,0.3,0.0,0.0
"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.8604999999999999,0.1047,0.0349,0.0,0.0,0.0,0.0
"Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.",0.9068,0.013500000000000002,0.0068000000000000005,0.057800000000000004,0.005600000000000001,0.0095,0.0
"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",0.9394,0.030299999999999997,0.0,0.0,0.030299999999999997,0.0,0.0
"Apply relevant laws, regulations, policies, or precedents to reach conclusions.",0.9222,0.0043,0.0128,0.0018,0.0085,0.050499999999999996,0.0
"Apply rule variations to card games such as poker, in which players bet on the value of their hands.",0.2949,0.7051000000000001,0.0,0.0,0.0,0.0,0.0
"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",0.7206999999999999,0.11710000000000001,0.06309999999999999,0.018000000000000002,0.0721,0.009000000000000001,0.0
"Appraise property values, assessing income potential when relevant.",0.9818000000000001,0.0,0.0,0.0,0.0,0.0182,0.0
"Archive documents, conduct research, and read copy, using the internet and various computer programs.",0.9264,0.0333,0.0055000000000000005,0.010700000000000001,0.022000000000000002,0.0022,0.0
"Arrange conference, meeting, or travel reservations for office personnel.",0.8077,0.15380000000000002,0.0,0.0385,0.0,0.0,0.0
"Arrange for debt repayment or establish repayment schedules, based on customers' financial situations.",0.5652,0.3043,0.0,0.1304,0.0,0.0,0.0
"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment.",0.7361,0.0833,0.0278,0.1528,0.0,0.0,0.0
Ask questions that will help clients identify their feelings and behaviors.,0.1306,0.3065,0.1,0.4242,0.0194,0.0194,0.0
"Assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",0.9523999999999999,0.0,0.0,0.047599999999999996,0.0,0.0,0.0
"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",0.7368000000000001,0.15789999999999998,0.0,0.0526,0.0526,0.0,0.0
"Assemble sets of assumptions, and explore the consequences of each set.",0.8964,0.0286,0.0207,0.0089,0.0256,0.0197,0.0
"Assess blockchain threats, such as untested code and unprotected keys.",0.9436,0.037599999999999995,0.0,0.0,0.0113,0.0075,0.0
"Assess clients' overall financial situations by reviewing income, assets, debts, expenses, credit reports, or other financial information.",0.9220999999999999,0.0779,0.0,0.0,0.0,0.0,0.0
"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",0.9708,0.0058,0.0019,0.0039000000000000003,0.0058,0.011699999999999999,0.0
"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",0.5315,0.0839,0.006999999999999999,0.37060000000000004,0.006999999999999999,0.0,0.0
"Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.",0.7909999999999999,0.0,0.0149,0.0149,0.0,0.1791,0.0
Assess employee performance and suggest ways to improve work.,0.9778,0.0,0.0,0.0,0.0111,0.0111,0.0
Assess employee performance.,0.9706999999999999,0.0127,0.0005,0.005699999999999999,0.0034999999999999996,0.0069,0.0
Assess nature and extent of illness or injury to establish and prioritize medical procedures.,0.9803000000000001,0.005600000000000001,0.0028000000000000004,0.0028000000000000004,0.0,0.0085,0.0
"Assess nutritional needs, diet restrictions, and current health plans to develop and implement dietary-care plans and provide nutritional counseling.",0.8332999999999999,0.1061,0.0152,0.0,0.0455,0.0,0.0
"Assess patients' mental and physical status, based on the presenting symptoms and complaints.",0.7945,0.1096,0.0137,0.0548,0.0,0.0274,0.0
"Assess patients' psychosocial status and needs, including areas such as sleep patterns, anxiety, grief, anger, and support systems.",0.9259000000000001,0.0741,0.0,0.0,0.0,0.0,0.0
